date,Solar (Rooftop) -  GWh,Solar (Utility) -  GWh,Wind -  GWh,Hydro -  GWh,Battery (Discharging) -  GWh,Gas (Reciprocating) -  GWh,Gas (OCGT) -  GWh,Gas (CCGT) -  GWh,Gas (Steam) -  GWh,Distillate -  GWh,Biomass -  GWh,Black Coal -  GWh,Brown Coal -  GWh,Pumps -  GWh,Battery (Charging) -  GWh,Solar (Utility) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Biomass Emissions Vol - tCO₂e,Black Coal Emissions Vol - tCO₂e,Brown Coal Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh,Solar (Rooftop) Market Value - AUD,Solar (Utility) Market Value - AUD,Wind Market Value - AUD,Hydro Market Value - AUD,Battery (Discharging) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (Steam) Market Value - AUD,Distillate Market Value - AUD,Biomass Market Value - AUD,Black Coal Market Value - AUD,Brown Coal Market Value - AUD,Pumps Market Value - AUD,Battery (Charging) Market Value - AUD
2019-06-11 00:00,21.30,11.40,54.14,49.46,0.19,2.33,6.53,23.25,9.04,0.01,0.39,281.32,102.77,-0.77,-0.16,93.20,1066.79,3371.07,11330.94,6066.14,8.22,-0.11,255839.06,124141.18,716.17,73.65,1072525.48,651829.94,3582345.15,3919950.92,15951.78,169473.33,666597.93,1671517.97,645789.23,602.38,29288.29,21639380.17,7220399.76,42161.41,5081.50
2019-06-12 00:00,13.45,6.79,69.44,53.20,0.20,2.33,4.70,26.08,10.62,0.00,0.48,281.21,101.51,-1.03,-0.14,91.93,1066.71,2574.26,12791.10,7090.94,0.39,-0.11,255767.76,122492.64,706.48,86.54,952939.86,486496.90,5270562.35,6480488.00,22672.11,178408.82,604182.78,2303764.15,1079874.76,205.68,35295.16,23482533.63,8266644.70,57207.34,6942.82
2019-06-13 00:00,15.22,7.63,51.18,54.02,0.19,2.28,6.14,34.68,12.47,0.00,0.74,281.48,100.13,-1.52,-0.09,108.53,1055.92,3327.60,16866.45,8278.82,0.78,-0.11,255912.92,120696.77,719.60,74.73,1077915.15,542477.60,3679650.39,4260049.33,18195.79,153008.09,570547.05,2636328.86,1083128.43,127.86,49434.31,20410935.36,7635015.10,70953.98,3773.87
2019-06-14 00:00,17.02,9.95,33.72,59.30,0.15,2.31,10.44,37.72,13.03,0.00,0.69,290.29,93.17,-0.29,-0.13,102.08,1051.96,5277.41,18263.28,8653.78,0.73,-0.11,264033.26,111502.65,720.67,80.29,1187922.57,700008.74,2661052.37,5045486.46,13705.83,166134.26,964565.57,3037154.45,1199575.92,135.80,49291.31,22625758.64,7876017.44,19496.67,8405.55
2019-06-15 00:00,16.68,9.91,13.03,51.65,0.17,2.32,8.86,29.34,14.32,0.00,0.34,297.65,93.72,-0.37,-0.11,115.15,1053.96,4713.99,14700.30,9403.73,2.75,-0.11,270776.31,112211.27,768.32,92.38,1361312.13,797022.32,1226455.76,5003156.34,18967.11,188392.64,1000003.85,2805510.70,1558932.70,308.10,29051.60,25979503.88,9648658.45,27010.80,10739.01
2019-06-16 00:00,13.27,8.32,13.68,54.38,0.21,2.25,11.59,30.07,13.89,0.01,0.72,293.80,93.42,-0.78,-0.16,129.84,1028.33,6874.28,14932.39,9121.10,12.88,-0.11,266953.21,111836.65,768.49,101.04,1262478.63,791326.10,1289358.31,5695425.37,30049.00,196743.84,1703040.05,3164941.74,1754118.57,1184.82,63233.99,28058980.23,9945269.84,55007.45,14558.63
2019-06-17 00:00,18.20,11.06,33.20,58.00,0.16,2.29,14.79,32.09,15.92,0.30,0.65,307.46,92.90,-1.11,-0.11,144.73,1043.31,7792.76,15864.66,10156.41,297.07,-0.11,279457.76,111262.36,727.24,97.50,1421154.29,865116.56,3208556.03,6163032.68,22593.78,201805.91,1804751.73,3188130.10,1832539.14,36904.03,55022.01,28519158.79,9710544.91,75811.84,11590.06
2019-06-18 00:00,16.42,9.90,44.28,53.53,0.17,2.28,11.36,31.26,19.06,0.04,0.43,314.91,93.16,-1.61,-0.17,145.82,1036.47,5996.65,15595.31,12123.78,41.48,-0.08,286430.50,111473.57,727.44,85.55,1177790.37,693832.53,3642716.55,5208974.59,18916.26,173226.73,1346325.32,2874186.39,2121178.82,5911.76,32890.93,24476145.18,9029244.16,89229.52,11540.28
2019-06-19 00:00,19.85,11.92,12.07,67.68,0.21,2.18,26.24,34.99,26.54,0.07,0.81,317.88,88.33,-2.45,-0.21,139.49,990.47,16042.54,17370.27,17108.96,83.99,-0.06,289111.31,105989.90,737.22,114.61,1299918.48,732047.91,1304055.12,9423625.16,45456.95,164846.88,4246630.95,4551079.84,4408870.12,21011.77,63894.49,29798708.65,13290898.94,86645.45,30194.03
2019-06-20 00:00,12.91,10.56,11.83,77.51,0.24,2.20,21.06,34.40,27.00,0.00,0.95,331.13,93.13,-1.26,-0.10,131.69,1027.91,11466.63,17119.34,17334.81,0.66,-0.06,300937.60,111533.38,739.35,109.45,1192941.58,941030.12,1420904.35,10152264.08,38795.31,187871.12,2864852.04,4104371.74,3985883.05,151.76,85530.72,29988756.58,12971629.20,82445.72,15255.00
2019-06-21 00:00,19.86,11.74,18.64,69.36,0.19,2.20,16.60,28.43,24.08,0.02,0.85,333.06,97.29,-1.40,-0.13,145.25,1035.27,9360.35,14134.06,15638.13,24.00,-0.06,302512.79,117051.98,740.83,100.35,1524053.53,882231.85,2041400.96,8133109.13,28559.03,179614.94,2041071.15,3120883.55,3103012.95,1759.05,70695.01,29210579.11,11845151.02,98022.88,15525.41
2019-06-22 00:00,19.46,12.95,20.63,56.68,0.17,2.20,11.75,24.90,12.94,0.01,0.93,323.75,102.29,-1.32,-0.18,151.99,1015.45,6529.81,12454.04,8936.10,12.64,-0.06,293432.27,123562.78,759.75,83.80,1271327.01,833536.55,1854291.54,5893684.31,19815.03,136312.99,1263345.84,2357783.87,1504347.97,821.91,58012.46,22656839.42,11264325.09,70316.19,17004.05
2019-06-23 00:00,18.25,12.41,18.58,58.23,0.15,2.21,7.69,28.22,15.80,0.01,0.93,320.64,101.71,-0.48,-0.08,130.01,1007.66,4489.08,14182.14,10593.44,12.69,-0.06,290908.06,122777.83,760.10,95.59,1419044.02,942890.55,1865887.95,7040175.10,23805.21,162882.47,1125579.35,3111886.98,2119059.69,975.14,68333.40,25229116.57,12700083.95,28533.74,9248.49
2019-06-24 00:00,17.68,11.01,47.15,67.47,0.18,2.22,9.55,33.64,16.34,0.01,0.91,325.74,102.39,-1.35,-0.14,129.62,1020.62,4954.43,16645.18,10635.13,12.84,-0.13,295401.45,123707.65,715.09,93.69,1388611.53,812255.99,4575090.49,7860257.30,23087.09,172194.58,1155292.56,3172186.76,1909821.80,1035.93,69756.19,26310031.69,11739124.89,86966.22,11447.49
2019-06-25 00:00,16.95,10.61,31.23,61.54,0.22,2.20,13.75,30.19,19.27,0.01,0.91,330.72,102.69,-1.18,-0.15,146.99,1029.05,7342.16,15140.30,12674.75,10.08,-0.19,299848.61,124064.53,743.60,97.66,1484739.76,862443.53,2948237.89,7155450.01,32867.79,176432.22,1838853.70,3251404.75,2553304.46,867.19,73865.01,27631154.22,12341913.34,82044.11,13732.32
