"","Year","Month returned from trip","Sydney","Central Coast","Hunter","North Coast NSW","South Coast","Snowy Mountains","Capital Country","The Murray","Riverina","Central NSW","New England North West","Outback NSW","Blue Mountains","Canberra","Melbourne","Peninsula","Geelong and the Bellarine","Western Grampians","Lakes","Gippsland","Phillip Island","Central Murray","Goulburn","High Country","Melbourne East","Upper Yarra","Murray East","Wimmera_Mallee","Great Ocean Road","Bendigo Loddon","Spa Country","Ballarat","Central Highlands","Macedon","Gold Coast","Brisbane","Sunshine Coast","Central Queensland","Bundaberg","Fraser Coast","Mackay","Whitsundays","Northern","Tropical North Queensland","Darling Downs","Outback","Adelaide","Barossa","Adelaide Hills","Limestone Coast","Fleurieu Peninsula","Kangaroo Island","Murraylands","Riverland","Clare Valley","Flinders Ranges and Outback","Eyre Peninsula","Yorke Peninsula","Experience Perth","Australia's Coral Coast","Australia's South West","Australia's North West","Australia's Golden Outback","Hobart and the South","East Coast","Launceston, Tamar and the North","North West","Wilderness West","Darwin","Kakadu Arnhem","Katherine Daly","Barkly","Lasseter","Alice Springs","MacDonnell"
"1",1998,"January",925.5801191,239.2082948,357.0644394,721.4596973,635.7994433,59.2979787,104.9475511,160.6780433,115.4223933,198.8965659,164.3248781,46.7853838,107.2752253,210.1120201,500.6191837,422.1671628,134.7871643,32.4822044,129.6892598,201.5150005,212.7373049,74.6753675,76.7711305,183.1614203,8.3129103,32.6751501,7.6939328,84.6040743,390.0037013,132.2955512,37.3157512,79.5352046,36.7607766,9.2513305,370.490431,419.7293656,373.2439573,54.8581766,58.0220447,72.5189572,39.3245359,28.8296991,73.1316655,75.826131,70.5015184,15.9490422,266.9222074,9.3413817,6.2490394,105.1167211,80.9603264,13.327483,41.479309,44.7409927,15.5521745,55.7502581,50.3438498,77.2500814,268.7637027,79.4104498,160.9111,42.453723,66.7747852,166.0237773,75.4010259,113.9152548,61.6178871,23.7688626,17.1748963,0.861641,6.1355589,14.4331877,8.1509882,7.0818192,9.4282661
"2",NA,"February",647.3182402,101.5812285,167.3215181,274.8185436,270.3630447,33.9548576,66.3703222,69.9868784,37.180633,87.7693707,54.5046559,15.5108789,31.4636073,156.0951246,528.0680687,158.6110601,51.2165301,26.7033506,35.2288414,66.2459495,73.7637213,38.8488695,17.6724283,53.2671015,46.7778147,23.5599874,5.6515668,59.2430469,175.0417918,49.424191,14.0466714,56.4197006,19.7097925,12.3111825,190.6274048,276.9012012,169.9690253,65.7499259,40.8632976,43.4474823,26.5500832,24.5695322,76.9718798,60.4706429,37.2006183,4.2144807,191.1843331,23.8467961,0,33.0049834,78.6688985,6.9313603,18.5141131,19.6969181,9.7343277,29.3723393,21.8942835,32.9252648,233.9601357,22.830095,101.6656727,43.899239,40.5976322,97.0103181,38.7387952,63.8136437,37.4275704,23.1649622,17.8935132,5.6873909,5.5966732,0.5999001,1.0457972,2.6482297,0.5228986
"3",NA,"March",716.3078727,115.6665518,162.5772031,344.5026887,340.2077838,47.7363205,92.9721809,129.1723727,70.8665623,140.069352,123.5613365,41.4757879,56.8043469,184.7947768,549.8611568,113.9454561,69.4411373,29.2016812,53.4084795,113.5244721,77.5422614,82.7744846,65.7036364,86.2058469,31.7622334,46.5558848,8.9716908,62.1409754,179.2683293,53.5514337,34.8335838,48.7633706,32.4367566,3.2283778,263.5133665,358.243471,196.861402,60.4293663,26.7084817,57.1329878,63.0610323,6.8274178,76.8709024,84.6185726,116.490802,57.5055594,199.617771,13.6079049,3.5495909,52.3965262,53.0572252,14.4194566,31.8237198,25.0734664,9.4677719,33.1117038,24.0701516,50.5062907,242.4688309,30.2758643,207.8577194,34.4224881,62.8780251,111.4974893,35.2972896,71.6747304,42.1956838,16.4012725,52.5388857,11.810486,5.0395302,3.9733555,0.8894534,10.4775895,0
"4",NA,"April",620.6155756,165.105782,359.6843164,533.0061119,332.6824813,66.8745684,77.1062568,130.9324857,96.0794275,264.1015097,153.8176819,61.1801795,71.3609571,178.4745759,486.9089624,72.675675,81.5988379,31.7400738,122.1305545,136.4299116,51.5702513,81.5211429,46.4611574,150.4491026,32.6548665,42.3159467,21.5766822,119.3608036,180.816843,68.4485728,28.4545177,48.9904243,53.6558228,17.6702167,265.8386271,338.1875289,241.0345825,80.3281347,16.2640427,49.6384306,75.4502225,44.2543339,47.1177833,96.8557853,102.6469994,35.912217,176.7305353,13.0487266,10.0396067,59.2144938,70.7853678,2.9868437,20.4593657,52.2308601,24.4088986,61.3716915,60.3130058,42.1270624,248.3489238,80.0196969,181.1723328,35.9596789,68.4324538,99.7549338,50.8316825,66.5529521,58.2426593,23.9867081,14.8348648,15.492244,4.9064485,0,7.004448,7.2160348,2.5257948
"5",NA,"May",597.8167838,104.1853031,260.8676237,302.1788432,278.218325,70.7126488,80.7856321,88.903352,141.6222388,174.6159176,104.9520219,37.3179441,82.7711685,133.9331486,550.3937346,70.7397383,53.1617176,33.7361693,78.5887615,85.2837164,54.4964716,62.9347742,69.1645954,132.1988077,18.7452097,30.6842713,7.3704574,72.6128768,118.6474836,64.0647715,17.3529097,35.500681,26.8067553,29.5507754,184.646436,286.0779565,191.1866742,99.4397005,62.8231128,32.3704879,26.9010704,38.6470419,32.8438408,65.0214877,105.2875789,50.1542535,151.1328662,24.7730536,17.1203465,53.4863041,56.4468273,6.0709729,21.0547001,27.1612284,23.9183086,31.6371868,26.6319951,36.1761556,219.6645841,58.605916,132.9819984,63.9336189,64.282399,61.6476228,29.1970638,56.4540187,35.9051579,10.6446202,31.10363,13.4752224,11.1142222,2.048575,7.780865,30.4277381,0.7342889
"6",NA,"June",600.8794237,75.5735449,176.1196599,315.6530182,189.9176422,28.9991243,84.0080118,101.2614469,107.2047654,121.4748183,81.6997699,28.8228916,46.2765455,104.7109,475.9165009,104.3082176,57.998388,23.3028857,44.0518984,47.3576894,61.2699235,56.265372,62.0999979,73.5740439,10.092458,4.4144662,2.0489464,48.9026925,63.4884803,91.6270023,28.5494628,55.3745575,24.6951526,7.3506953,227.6329775,328.903735,180.2216246,121.5322886,30.9711555,47.7299681,30.6552089,26.2937127,82.5236855,91.2203433,136.034014,110.8914441,128.5539252,11.6069367,0,23.1722335,59.5252074,0,16.9615306,21.055262,10.9290754,35.6515267,19.4725325,26.0210343,194.7486966,33.099638,94.7654775,60.4578626,37.6312917,66.4953467,28.2002263,47.2581656,49.5010832,7.9757475,71.6606047,24.6126851,25.8667022,10.8566249,21.1409875,19.7937069,2.1813312
"7",NA,"July",720.4773981,159.1873672,231.2863289,259.9467552,242.2423398,153.0765147,99.565223,70.2092471,46.5391787,168.0927818,97.0324024,37.3677249,129.3568662,141.5261715,518.4713599,58.9895773,86.8701652,26.2207751,69.5875745,87.4888147,15.833556,43.6035577,73.4535243,115.9534702,33.2636647,17.0506925,10.2139207,76.7179581,101.6848735,52.2192864,20.5037401,47.0170937,41.1786611,0,308.8185794,362.713256,214.1207435,99.1796303,52.2990888,61.1969956,29.9315709,12.1962498,63.3315452,107.624222,119.4072746,51.1410329,237.9350205,10.2327048,10.9610126,38.232557,52.1167305,1.8478375,20.6365557,17.3456582,4.2423932,52.0572454,32.5367096,13.7595638,247.5170427,62.7872413,115.4943193,85.7710551,91.3834403,63.915276,13.3726288,29.1291919,23.7858242,5.725622,94.5017112,24.0908471,44.2473654,25.6409556,24.2633073,53.5584361,9.8092155
"8",NA,"August",644.705876,115.6537022,157.343678,261.9687134,196.3878897,156.7487942,56.2412976,121.4125849,90.9260371,165.5880557,103.2946184,46.6435167,58.5384088,136.7046845,488.436715,61.132619,74.4422579,23.5725391,53.3944048,86.6533695,27.680193,31.4192356,30.1470371,113.794983,15.235382,19.9814123,17.9619967,78.8898219,110.8702772,29.4704853,25.9835344,22.7604086,24.0496313,11.4519397,220.9714543,343.4857214,190.9781375,85.5044152,26.8905937,69.141741,45.0075689,48.5069423,94.1658401,146.6879811,115.2927081,116.0223315,152.7415355,9.5147947,3.1095561,22.3676231,16.2893227,5.4507904,13.5892711,22.2886002,16.2732831,29.9171834,24.2262272,35.6375943,219.1739229,51.2531541,135.4085127,77.0446375,45.621229,41.0427567,13.9073446,39.8749879,22.367299,7.8323849,63.7130792,23.2666107,39.6710954,16.4304307,17.6427634,41.0191106,13.6757715
"9",NA,"September",632.6161822,31.747045,183.4314651,320.4561846,204.6503166,62.9900297,41.7847479,197.6038279,106.057832,233.3696773,133.7129225,40.4509941,65.4644137,165.7027696,520.013142,64.0224596,56.511547,30.1815695,63.4047303,84.5422964,39.5190743,38.9823379,56.1487759,126.9082471,18.3179421,22.4333005,2.8233053,69.1420209,133.5973702,50.769078,19.8154347,48.6580008,31.4912124,10.1548085,309.9595994,307.4462892,216.3242699,114.2601259,51.2651762,54.4056376,86.171875,33.0623127,84.2045096,170.6108247,163.9247264,106.9779361,216.5710176,9.9958029,12.420503,26.9498947,18.0074158,3.1657527,25.9799078,29.916819,12.1477448,50.9877093,25.5506678,22.6373306,223.9871995,84.5156352,118.0151181,37.8207144,97.0715587,71.944407,13.3892682,20.9178273,29.6151249,5.2932073,40.6459477,12.2433801,18.940914,14.8417996,17.8018196,35.3640714,4.0293241
"10",NA,"October",770.9689439,101.1039561,173.2110654,562.1132283,258.4068456,43.4453438,97.7662917,138.1845912,82.6100659,222.9761975,120.8860106,104.1828248,86.8827443,149.638171,492.2463334,108.5340906,43.9627327,40.4235399,66.4940619,68.2365481,65.4925389,64.9037431,26.6406374,63.6943322,24.7520509,12.8780501,18.2342425,97.0827648,177.2216696,68.0084699,13.4322881,56.4840293,74.1848458,18.2681892,268.4747037,407.2626666,294.902861,110.7910314,46.0265648,52.6156655,54.0956957,53.0817993,44.9677671,114.2803292,111.339938,64.5533049,150.4977633,35.0809482,10.7781986,35.4391497,48.7135449,3.971527,35.1621561,45.8762755,18.7453465,71.0770195,37.2230003,36.7226434,292.0578763,80.7404717,146.5722,70.5014029,85.0014441,85.9465281,33.0220892,64.3777738,41.3337909,20.5250412,47.0052224,15.0488504,13.5290907,12.6763102,29.1360999,39.7384606,2.0035976
